id,dataset,segment,type,model,result,metric
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.9156640434599298,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,hier_probabilistic,0.0792359837702211,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8757515805722658,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.0756224368085243,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.939858788376686,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.0475402503354691,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8428237218155314,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.1429725981846694,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.9753964493116872,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.0068110140947138,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.7241481415454991,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.3818467369884448,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.8753920472716299,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.0681428104035855,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.9279763221776576,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,MUL,hier_probabilistic,0.0579593032247055,ged
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.6758026560306348,dice
case_15,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.2369030494455206,ged
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.8990607267268724,dice
case_21,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.1178717094866067,ged
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.7451341789116316,dice
case_11,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.2026212426811745,ged
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.8246575353515014,dice
case_20,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.2691685757710573,ged
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.5545827563626441,dice
case_7,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.5716680421680091,ged
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.6032774661289071,dice
case_8,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.4519250832362225,ged
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.8967840142253706,dice
case_29,BRAIN_TUMOR_TASK1,TASK1,SIN,bayesian,0.1180602008371648,ged
