id,dataset,segment,type,model,result,metric
case_21,HEART,LUNGS,DIR,ensemble,0.969238989389975,ndice
case_21,HEART,LUNGS,DSI,ensemble,0.9637442320367706,ndice
case_21,HEART,LUNGS,DMU,ensemble,0.9619569273016192,ndice
case_21,HEART,HEART,DIR,ensemble,0.9868053502584638,ndice
case_21,HEART,HEART,DSI,ensemble,0.977606067956799,ndice
case_21,HEART,HEART,DMU,ensemble,0.980542067835588,ndice
case_21,HEART,UNCERTAINTY,DIR,ensemble,0.6569773151327423,ndice
case_21,HEART,UNCERTAINTY,DSI,ensemble,0.3778643803582401,ndice
case_21,HEART,UNCERTAINTY,DMU,ensemble,0.3867278609582524,ndice
case_2,HEART,LUNGS,DIR,ensemble,0.9549976715632372,ndice
case_2,HEART,LUNGS,DSI,ensemble,0.950254812552675,ndice
case_2,HEART,LUNGS,DMU,ensemble,0.9482288828335932,ndice
case_2,HEART,HEART,DIR,ensemble,0.9768286171915552,ndice
case_2,HEART,HEART,DSI,ensemble,0.9641064779480372,ndice
case_2,HEART,HEART,DMU,ensemble,0.968150796229982,ndice
case_2,HEART,UNCERTAINTY,DIR,ensemble,0.6401990599941165,ndice
case_2,HEART,UNCERTAINTY,DSI,ensemble,0.4770355647047085,ndice
case_2,HEART,UNCERTAINTY,DMU,ensemble,0.3763535734335635,ndice
case_114,HEART,LUNGS,DIR,ensemble,0.9595251963915934,ndice
case_114,HEART,LUNGS,DSI,ensemble,0.9543198240651972,ndice
case_114,HEART,LUNGS,DMU,ensemble,0.9588462245083964,ndice
case_114,HEART,HEART,DIR,ensemble,0.9845168036247446,ndice
case_114,HEART,HEART,DSI,ensemble,0.9793806969626524,ndice
case_114,HEART,HEART,DMU,ensemble,0.9832606108686378,ndice
case_114,HEART,UNCERTAINTY,DIR,ensemble,0.619045032320811,ndice
case_114,HEART,UNCERTAINTY,DSI,ensemble,0.4152938472144545,ndice
case_114,HEART,UNCERTAINTY,DMU,ensemble,0.3583805112366114,ndice
case_30,HEART,LUNGS,DIR,ensemble,0.9705016367657924,ndice
case_30,HEART,LUNGS,DSI,ensemble,0.9705284915004864,ndice
case_30,HEART,LUNGS,DMU,ensemble,0.9640890846444492,ndice
case_30,HEART,HEART,DIR,ensemble,0.9840517585664348,ndice
case_30,HEART,HEART,DSI,ensemble,0.9746699096594011,ndice
case_30,HEART,HEART,DMU,ensemble,0.9770107922769368,ndice
case_30,HEART,UNCERTAINTY,DIR,ensemble,0.5376014032007577,ndice
case_30,HEART,UNCERTAINTY,DSI,ensemble,0.3641689502028118,ndice
case_30,HEART,UNCERTAINTY,DMU,ensemble,0.3251060547625095,ndice
case_100,HEART,LUNGS,DIR,ensemble,0.9681704290696932,ndice
case_100,HEART,LUNGS,DSI,ensemble,0.9766971822612084,ndice
case_100,HEART,LUNGS,DMU,ensemble,0.9705713313861654,ndice
case_100,HEART,HEART,DIR,ensemble,0.9757572322051872,ndice
case_100,HEART,HEART,DSI,ensemble,0.9667958967889436,ndice
case_100,HEART,HEART,DMU,ensemble,0.9722294996069304,ndice
case_100,HEART,UNCERTAINTY,DIR,ensemble,0.5959302325578187,ndice
case_100,HEART,UNCERTAINTY,DSI,ensemble,0.4378786745452629,ndice
case_100,HEART,UNCERTAINTY,DMU,ensemble,0.3851148060171139,ndice
case_87,HEART,LUNGS,DIR,ensemble,0.975958302410905,ndice
case_87,HEART,LUNGS,DSI,ensemble,0.9746848312320432,ndice
case_87,HEART,LUNGS,DMU,ensemble,0.9782468960382662,ndice
case_87,HEART,HEART,DIR,ensemble,0.9869725668044448,ndice
case_87,HEART,HEART,DSI,ensemble,0.9819589615939014,ndice
case_87,HEART,HEART,DMU,ensemble,0.9843642658898636,ndice
case_87,HEART,UNCERTAINTY,DIR,ensemble,0.6164568345320276,ndice
case_87,HEART,UNCERTAINTY,DSI,ensemble,0.442745526337526,ndice
case_87,HEART,UNCERTAINTY,DMU,ensemble,0.4306756628333833,ndice
case_15,HEART,LUNGS,DIR,ensemble,0.957014987510242,ndice
case_15,HEART,LUNGS,DSI,ensemble,0.9491485652988488,ndice
case_15,HEART,LUNGS,DMU,ensemble,0.9464849592818768,ndice
case_15,HEART,HEART,DIR,ensemble,0.978052588623454,ndice
case_15,HEART,HEART,DSI,ensemble,0.969719112363669,ndice
case_15,HEART,HEART,DMU,ensemble,0.9723739578159682,ndice
case_15,HEART,UNCERTAINTY,DIR,ensemble,0.6104485804098545,ndice
case_15,HEART,UNCERTAINTY,DSI,ensemble,0.4002544889011732,ndice
case_15,HEART,UNCERTAINTY,DMU,ensemble,0.3654982276483926,ndice
case_24,HEART,LUNGS,DIR,ensemble,0.9773749040533322,ndice
case_24,HEART,LUNGS,DSI,ensemble,0.9775710964047616,ndice
case_24,HEART,LUNGS,DMU,ensemble,0.9709474430557528,ndice
case_24,HEART,HEART,DIR,ensemble,0.9869252692098058,ndice
case_24,HEART,HEART,DSI,ensemble,0.9846712842056922,ndice
case_24,HEART,HEART,DMU,ensemble,0.985231918983998,ndice
case_24,HEART,UNCERTAINTY,DIR,ensemble,0.6776325172328607,ndice
case_24,HEART,UNCERTAINTY,DSI,ensemble,0.4757345901756566,ndice
case_24,HEART,UNCERTAINTY,DMU,ensemble,0.4211939355650496,ndice
case_88,HEART,LUNGS,DIR,ensemble,0.9678729755027522,ndice
case_88,HEART,LUNGS,DSI,ensemble,0.9683850459538096,ndice
case_88,HEART,LUNGS,DMU,ensemble,0.970996478143607,ndice
case_88,HEART,HEART,DIR,ensemble,0.9844567015430123,ndice
case_88,HEART,HEART,DSI,ensemble,0.9863294078112804,ndice
case_88,HEART,HEART,DMU,ensemble,0.984752172105752,ndice
case_88,HEART,UNCERTAINTY,DIR,ensemble,0.5660651568362807,ndice
case_88,HEART,UNCERTAINTY,DSI,ensemble,0.4115554784415619,ndice
case_88,HEART,UNCERTAINTY,DMU,ensemble,0.3790787855855678,ndice
case_53,HEART,LUNGS,DIR,ensemble,0.971953291863341,ndice
case_53,HEART,LUNGS,DSI,ensemble,0.9663410328979936,ndice
case_53,HEART,LUNGS,DMU,ensemble,0.9679592208263595,ndice
case_53,HEART,HEART,DIR,ensemble,0.984683460007981,ndice
case_53,HEART,HEART,DSI,ensemble,0.9788146635972192,ndice
