id,dataset,segment,type,model,result,metric
case_106,HEART,HEART,SIN,ensemble,0.9774251695482098,ndice
case_75,HEART,LUNGS,SIN,ensemble,0.9734501562700189,ndice
case_75,HEART,HEART,SIN,ensemble,0.9811059982881402,ndice
case_3,HEART,LUNGS,SIN,ensemble,0.9703512674173049,ndice
case_3,HEART,HEART,SIN,ensemble,0.9806201765515535,ndice
case_21,HEART,LUNGS,SIN,ensemble,0.9733785757954055,ndice
case_21,HEART,HEART,SIN,ensemble,0.9798670625465925,ndice
case_2,HEART,LUNGS,SIN,ensemble,0.9537507336570159,ndice
case_2,HEART,HEART,SIN,ensemble,0.9568629448535764,ndice
case_114,HEART,LUNGS,SIN,ensemble,0.9545464103166228,ndice
case_114,HEART,HEART,SIN,ensemble,0.9743625575234138,ndice
case_30,HEART,LUNGS,SIN,ensemble,0.9708042285372763,ndice
case_30,HEART,HEART,SIN,ensemble,0.97620758993672,ndice
case_100,HEART,LUNGS,SIN,ensemble,0.9670012180184571,ndice
case_100,HEART,HEART,SIN,ensemble,0.9663877684787742,ndice
case_87,HEART,LUNGS,SIN,ensemble,0.9716329106238748,ndice
case_87,HEART,HEART,SIN,ensemble,0.9822844128742892,ndice
case_15,HEART,LUNGS,SIN,ensemble,0.9546117652005612,ndice
case_15,HEART,HEART,SIN,ensemble,0.9666485659110369,ndice
case_24,HEART,LUNGS,SIN,ensemble,0.9700033622709962,ndice
case_24,HEART,HEART,SIN,ensemble,0.9798728040259777,ndice
case_88,HEART,LUNGS,SIN,ensemble,0.9736528508788989,ndice
case_88,HEART,HEART,SIN,ensemble,0.9827360643109563,ndice
case_53,HEART,LUNGS,SIN,ensemble,0.9627772942412635,ndice
case_53,HEART,HEART,SIN,ensemble,0.9777059627168215,ndice
case_101,HEART,LUNGS,SIN,ensemble,0.9575874274474547,ndice
case_101,HEART,HEART,SIN,ensemble,0.9725513713800545,ndice
case_72,HEART,LUNGS,SIN,ensemble,0.9650671633417471,ndice
case_72,HEART,HEART,SIN,ensemble,0.9809511417686366,ndice
case_22,HEART,LUNGS,SIN,ensemble,0.9629619690206095,ndice
case_22,HEART,HEART,SIN,ensemble,0.972749745420153,ndice
case_38,HEART,LUNGS,SIN,ensemble,0.9485511869401987,ndice
case_38,HEART,HEART,SIN,ensemble,0.9553750415739832,ndice
case_93,HEART,LUNGS,MUL,ensemble,0.963664912105466,ndice
case_93,HEART,HEART,MUL,ensemble,0.9624498372057835,ndice
case_103,HEART,LUNGS,MUL,ensemble,0.9526303402584736,ndice
case_103,HEART,HEART,MUL,ensemble,0.9715738625197142,ndice
case_61,HEART,LUNGS,MUL,ensemble,0.9663447700689836,ndice
case_61,HEART,HEART,MUL,ensemble,0.9815115904357338,ndice
case_83,HEART,LUNGS,MUL,ensemble,0.9595837341935354,ndice
case_83,HEART,HEART,MUL,ensemble,0.9783623697833359,ndice
case_52,HEART,LUNGS,MUL,ensemble,0.9506326724125556,ndice
case_52,HEART,HEART,MUL,ensemble,0.9196871987592145,ndice
case_107,HEART,LUNGS,MUL,ensemble,0.9575027160587695,ndice
case_107,HEART,HEART,MUL,ensemble,0.9785411230523643,ndice
case_106,HEART,LUNGS,MUL,ensemble,0.9630224768952808,ndice
case_106,HEART,HEART,MUL,ensemble,0.9782179817763607,ndice
case_75,HEART,LUNGS,MUL,ensemble,0.9732784730394048,ndice
case_75,HEART,HEART,MUL,ensemble,0.9811759637195717,ndice
case_3,HEART,LUNGS,MUL,ensemble,0.9724753453493228,ndice
case_3,HEART,HEART,MUL,ensemble,0.9825821629563267,ndice
case_21,HEART,LUNGS,MUL,ensemble,0.9706863161277183,ndice
case_21,HEART,HEART,MUL,ensemble,0.9798509775489731,ndice
case_2,HEART,LUNGS,MUL,ensemble,0.9561936118547993,ndice
case_2,HEART,HEART,MUL,ensemble,0.9606687310910439,ndice
case_114,HEART,LUNGS,MUL,ensemble,0.9642470424062434,ndice
case_114,HEART,HEART,MUL,ensemble,0.9778666778783451,ndice
case_30,HEART,LUNGS,MUL,ensemble,0.9676165887995365,ndice
case_30,HEART,HEART,MUL,ensemble,0.9776130165098522,ndice
case_100,HEART,LUNGS,MUL,ensemble,0.9687518716818194,ndice
case_100,HEART,HEART,MUL,ensemble,0.9691929914159774,ndice
case_87,HEART,LUNGS,MUL,ensemble,0.9748389840241105,ndice
case_87,HEART,HEART,MUL,ensemble,0.983703071263761,ndice
case_15,HEART,LUNGS,MUL,ensemble,0.9568442268632771,ndice
case_15,HEART,HEART,MUL,ensemble,0.9697845866237376,ndice
case_24,HEART,LUNGS,MUL,ensemble,0.9673308426954228,ndice
case_24,HEART,HEART,MUL,ensemble,0.9793629885184559,ndice
case_88,HEART,LUNGS,MUL,ensemble,0.9771869386983438,ndice
case_88,HEART,HEART,MUL,ensemble,0.9837654922470728,ndice
case_53,HEART,LUNGS,MUL,ensemble,0.9642029806967135,ndice
case_53,HEART,HEART,MUL,ensemble,0.9789509570450262,ndice
case_101,HEART,LUNGS,MUL,ensemble,0.9591524814508966,ndice
case_101,HEART,HEART,MUL,ensemble,0.9726655519217382,ndice
case_72,HEART,LUNGS,MUL,ensemble,0.965498845310466,ndice
case_72,HEART,HEART,MUL,ensemble,0.9812561726011956,ndice
case_22,HEART,LUNGS,MUL,ensemble,0.9586069953410886,ndice
case_22,HEART,HEART,MUL,ensemble,0.9739225174620845,ndice
case_38,HEART,LUNGS,MUL,ensemble,0.9604258213670214,ndice
case_38,HEART,HEART,MUL,ensemble,0.9648253793044343,ndice
case_93,HEART,LUNGS,DIR,ensemble,0.9476741000491826,ndice
case_93,HEART,LUNGS,DSI,ensemble,0.9492176852203907,ndice
case_93,HEART,LUNGS,DMU,ensemble,0.9614179500795325,ndice
case_93,HEART,HEART,DIR,ensemble,0.9646291119630138,ndice
case_93,HEART,HEART,DSI,ensemble,0.956562707700511,ndice
case_93,HEART,HEART,DMU,ensemble,0.9633270898133756,ndice
case_93,HEART,UNCERTAINTY,DIR,ensemble,0.48472525292576635,ndice
case_93,HEART,UNCERTAINTY,DSI,ensemble,0.2904304220641521,ndice
case_93,HEART,UNCERTAINTY,DMU,ensemble,0.26772012459145506,ndice
case_103,HEART,LUNGS,DIR,ensemble,0.9523670056977273,ndice
case_103,HEART,LUNGS,DSI,ensemble,0.9594439837300794,ndice
case_103,HEART,LUNGS,DMU,ensemble,0.9622179173026593,ndice
case_103,HEART,HEART,DIR,ensemble,0.9778753386086698,ndice
case_103,HEART,HEART,DSI,ensemble,0.9651854097733317,ndice
case_103,HEART,HEART,DMU,ensemble,0.9728829025410477,ndice
case_103,HEART,UNCERTAINTY,DIR,ensemble,0.5864023580472949,ndice
case_103,HEART,UNCERTAINTY,DSI,ensemble,0.40564923716385354,ndice
case_103,HEART,UNCERTAINTY,DMU,ensemble,0.36998254799282354,ndice
case_61,HEART,LUNGS,DIR,ensemble,0.9766398481480174,ndice
case_61,HEART,LUNGS,DSI,ensemble,0.9658152242976732,ndice
case_61,HEART,LUNGS,DMU,ensemble,0.9734535809016502,ndice
case_61,HEART,HEART,DIR,ensemble,0.980779540902728,ndice
case_61,HEART,HEART,DSI,ensemble,0.9852237076053312,ndice
case_61,HEART,HEART,DMU,ensemble,0.9845959319642931,ndice
case_61,HEART,UNCERTAINTY,DIR,ensemble,0.6242083456640283,ndice
case_61,HEART,UNCERTAINTY,DSI,ensemble,0.4602262837245777,ndice
case_61,HEART,UNCERTAINTY,DMU,ensemble,0.4396279396275538,ndice
case_83,HEART,LUNGS,DIR,ensemble,0.9572410437319876,ndice
case_83,HEART,LUNGS,DSI,ensemble,0.9665475996382092,ndice
case_83,HEART,LUNGS,DMU,ensemble,0.9512571615161708,ndice
case_83,HEART,HEART,DIR,ensemble,0.9851181545879468,ndice
case_83,HEART,HEART,DSI,ensemble,0.982112489111899,ndice
case_83,HEART,HEART,DMU,ensemble,0.9834772091380957,ndice
case_83,HEART,UNCERTAINTY,DIR,ensemble,0.6166246851382802,ndice
case_83,HEART,UNCERTAINTY,DSI,ensemble,0.3788239840275785,ndice
case_83,HEART,UNCERTAINTY,DMU,ensemble,0.29274050757407516,ndice
case_52,HEART,LUNGS,DIR,ensemble,0.944137292672436,ndice
case_52,HEART,LUNGS,DSI,ensemble,0.9051210697960255,ndice
case_52,HEART,LUNGS,DMU,ensemble,0.9379678495600925,ndice
case_52,HEART,HEART,DIR,ensemble,0.9554631439477786,ndice
case_52,HEART,HEART,DSI,ensemble,0.9535819449950953,ndice
case_52,HEART,HEART,DMU,ensemble,0.9624711885108014,ndice
case_52,HEART,UNCERTAINTY,DIR,ensemble,0.3545486784737563,ndice
case_52,HEART,UNCERTAINTY,DSI,ensemble,0.19725520564442497,ndice
case_52,HEART,UNCERTAINTY,DMU,ensemble,0.22466347627237215,ndice
case_107,HEART,LUNGS,DIR,ensemble,0.9684574391471877,ndice
case_107,HEART,LUNGS,DSI,ensemble,0.9598843058348592,ndice
case_107,HEART,LUNGS,DMU,ensemble,0.9634974666267764,ndice
case_107,HEART,HEART,DIR,ensemble,0.9847511988345523,ndice
case_107,HEART,HEART,DSI,ensemble,0.9781743325189437,ndice
case_107,HEART,HEART,DMU,ensemble,0.9786533262902166,ndice
case_107,HEART,UNCERTAINTY,DIR,ensemble,0.6268427370945369,ndice
case_107,HEART,UNCERTAINTY,DSI,ensemble,0.33526782736286087,ndice
case_107,HEART,UNCERTAINTY,DMU,ensemble,0.35811836115302625,ndice
case_106,HEART,LUNGS,DIR,ensemble,0.96189260290913,ndice
case_106,HEART,LUNGS,DSI,ensemble,0.9614387062321762,ndice
case_106,HEART,LUNGS,DMU,ensemble,0.9612077129975071,ndice
case_106,HEART,HEART,DIR,ensemble,0.9838113395791231,ndice
case_106,HEART,HEART,DSI,ensemble,0.9803023485402393,ndice
case_106,HEART,HEART,DMU,ensemble,0.9817185996594705,ndice
case_106,HEART,UNCERTAINTY,DIR,ensemble,0.614952034402572,ndice
case_106,HEART,UNCERTAINTY,DSI,ensemble,0.3545172904627359,ndice
case_106,HEART,UNCERTAINTY,DMU,ensemble,0.3161438950909834,ndice
case_75,HEART,LUNGS,DIR,ensemble,0.9733817838044,ndice
case_75,HEART,LUNGS,DSI,ensemble,0.9712111422211256,ndice
case_75,HEART,LUNGS,DMU,ensemble,0.9712977536126812,ndice
case_75,HEART,HEART,DIR,ensemble,0.985594199178592,ndice
case_75,HEART,HEART,DSI,ensemble,0.9835911910604122,ndice
case_75,HEART,HEART,DMU,ensemble,0.9840525328329687,ndice
case_75,HEART,UNCERTAINTY,DIR,ensemble,0.6308269988091258,ndice
case_75,HEART,UNCERTAINTY,DSI,ensemble,0.37523749208330015,ndice
case_75,HEART,UNCERTAINTY,DMU,ensemble,0.35495934959320735,ndice
case_3,HEART,LUNGS,DIR,ensemble,0.9740091111157874,ndice
case_3,HEART,LUNGS,DSI,ensemble,0.9654251308672874,ndice
case_3,HEART,LUNGS,DMU,ensemble,0.9757508536132369,ndice
case_3,HEART,HEART,DIR,ensemble,0.9870265139029237,ndice
case_3,HEART,HEART,DSI,ensemble,0.9832760237573601,ndice
case_3,HEART,HEART,DMU,ensemble,0.9850582876653665,ndice
case_3,HEART,UNCERTAINTY,DIR,ensemble,0.6378810337045576,ndice
case_3,HEART,UNCERTAINTY,DSI,ensemble,0.3969568567022371,ndice
case_3,HEART,UNCERTAINTY,DMU,ensemble,0.43111022364174206,ndice
