epoch:  64 , training loss:  0.10914272740483284 , validation loss:  0.10550683408975602 , validation dice:  0.0 , this epoch took:  17.26695418357849 s
epoch:  65 , training loss:  0.10631674934178591 , validation loss:  0.11156113728880883 , validation dice:  0.0 , this epoch took:  16.962343215942383 s
epoch:  66 , training loss:  0.10246425726264716 , validation loss:  0.10772641524672508 , validation dice:  0.0 , this epoch took:  17.4858341217041 s
epoch:  67 , training loss:  0.11053698925673962 , validation loss:  0.10335596919059753 , validation dice:  0.0 , this epoch took:  17.09173059463501 s
epoch:  68 , training loss:  0.09947595030814409 , validation loss:  0.10724014222621918 , validation dice:  0.0 , this epoch took:  16.938536405563354 s
epoch:  69 , training loss:  0.11027322861552238 , validation loss:  0.10240133002400398 , validation dice:  0.0 , this epoch took:  16.977813005447388 s
epoch:  70 , training loss:  0.10222874906659127 , validation loss:  0.11373510375618935 , validation dice:  0.0 , this epoch took:  16.584400177001953 s
epoch:  71 , training loss:  0.10387084124982357 , validation loss:  0.10657719761133194 , validation dice:  0.0 , this epoch took:  16.541054010391235 s
epoch:  72 , training loss:  0.09888502818346023 , validation loss:  0.10353849291801452 , validation dice:  0.0 , this epoch took:  18.448596239089966 s
epoch:  73 , training loss:  0.10516179405152798 , validation loss:  0.10465017676353455 , validation dice:  0.0 , this epoch took:  18.287113189697266 s
epoch:  74 , training loss:  0.09935836493223905 , validation loss:  0.10595080584287643 , validation dice:  0.0 , this epoch took:  17.596638679504395 s
epoch:  75 , training loss:  0.11133112198114395 , validation loss:  0.11172838732600213 , validation dice:  0.0 , this epoch took:  18.022249698638916 s
epoch:  76 , training loss:  0.10593302654474973 , validation loss:  0.10775814518332481 , validation dice:  0.0 , this epoch took:  17.59382963180542 s
epoch:  77 , training loss:  0.09658127173036336 , validation loss:  0.10808839291334152 , validation dice:  0.0 , this epoch took:  18.085520029067993 s
epoch:  78 , training loss:  0.10507100713253022 , validation loss:  0.09987553149461746 , validation dice:  0.0 , this epoch took:  17.8422691822052 s
epoch:  79 , training loss:  0.10873252630233765 , validation loss:  0.11037021905183791 , validation dice:  0.0 , this epoch took:  17.670650482177734 s
epoch:  80 , training loss:  0.10306469543278217 , validation loss:  0.10313962548971176 , validation dice:  0.0 , this epoch took:  17.803581714630127 s
epoch:  81 , training loss:  0.10252280033379793 , validation loss:  0.10222695991396905 , validation dice:  0.0 , this epoch took:  17.915629625320435 s
epoch:  82 , training loss:  0.10009511432796717 , validation loss:  0.10198577865958214 , validation dice:  0.0 , this epoch took:  16.459022760391235 s
epoch:  83 , training loss:  0.10168057502806187 , validation loss:  0.10153461381793022 , validation dice:  0.0 , this epoch took:  16.645540237426758 s
epoch:  84 , training loss:  0.10421608929336071 , validation loss:  0.10231580257415772 , validation dice:  0.0 , this epoch took:  17.276163578033447 s
epoch:  85 , training loss:  0.10160157316923142 , validation loss:  0.10587754145264626 , validation dice:  0.0 , this epoch took:  16.801676034927368 s
epoch:  86 , training loss:  0.10393740141391754 , validation loss:  0.1000002521276474 , validation dice:  0.0 , this epoch took:  17.330706357955933 s
epoch:  87 , training loss:  0.10479945640265942 , validation loss:  0.10418318495154381 , validation dice:  0.0 , this epoch took:  17.624084949493408 s
epoch:  88 , training loss:  0.09950383485853673 , validation loss:  0.10468250423669816 , validation dice:  0.0 , this epoch took:  16.860629081726074 s
epoch:  89 , training loss:  0.10256786294281482 , validation loss:  0.10155460268259048 , validation dice:  0.0 , this epoch took:  16.967034101486206 s
epoch:  90 , training loss:  0.10819984486699104 , validation loss:  0.10452048659324646 , validation dice:  0.0 , this epoch took:  15.88709306716919 s
epoch:  91 , training loss:  0.09436534634232521 , validation loss:  0.10340155258774758 , validation dice:  0.0 , this epoch took:  16.287578344345093 s
epoch:  92 , training loss:  0.09688569785654545 , validation loss:  0.10335650607943535 , validation dice:  0.0 , this epoch took:  16.382756233215332 s
epoch:  93 , training loss:  0.10161135402321815 , validation loss:  0.110932657122612 , validation dice:  0.0 , this epoch took:  16.55760645866394 s
epoch:  94 , training loss:  0.10888260828703641 , validation loss:  0.10470111891627312 , validation dice:  0.0 , this epoch took:  16.4777352809906 s
epoch:  95 , training loss:  0.10599407441914081 , validation loss:  0.10349320828914642 , validation dice:  0.0 , this epoch took:  16.534321546554565 s
epoch:  96 , training loss:  0.10488167104125024 , validation loss:  0.10406021028757095 , validation dice:  0.0 , this epoch took:  16.373461484909058 s
epoch:  97 , training loss:  0.10116927446424961 , validation loss:  0.10344520777463913 , validation dice:  0.0 , this epoch took:  17.23007845878601 s
epoch:  98 , training loss:  0.10410830464959145 , validation loss:  0.10383479312062263 , validation dice:  0.0 , this epoch took:  16.80192494392395 s
epoch:  99 , training loss:  0.11048398323357106 , validation loss:  0.10334589272737503 , validation dice:  0.0 , this epoch took:  18.6661217212677 s
epoch:  100 , training loss:  0.10977165050804615 , validation loss:  0.10516794443130494 , validation dice:  0.0 , this epoch took:  17.983726978302002 s
epoch:  101 , training loss:  0.09833576002717018 , validation loss:  0.10557499274611473 , validation dice:  0.0 , this epoch took:  17.319015502929688 s
epoch:  102 , training loss:  0.10401769815385342 , validation loss:  0.11642043083906174 , validation dice:  0.0 , this epoch took:  18.553501844406128 s
epoch:  103 , training loss:  0.10028058690577746 , validation loss:  0.1172724089026451 , validation dice:  0.0 , this epoch took:  19.100006580352783 s
epoch:  104 , training loss:  0.0988154361397028 , validation loss:  0.10721766322851181 , validation dice:  0.0 , this epoch took:  18.048866033554077 s
epoch:  105 , training loss:  0.10543083629012108 , validation loss:  0.09914101839065552 , validation dice:  0.0 , this epoch took:  17.69953966140747 s
epoch:  106 , training loss:  0.10294409260153771 , validation loss:  0.10365367025136947 , validation dice:  0.0 , this epoch took:  17.858882904052734 s
epoch:  107 , training loss:  0.09617497296631336 , validation loss:  0.10881264835596084 , validation dice:  0.0 , this epoch took:  17.104224681854248 s
epoch:  108 , training loss:  0.09972785536944866 , validation loss:  0.10226229906082153 , validation dice:  0.0 , this epoch took:  16.75589346885681 s
epoch:  109 , training loss:  0.10614896532893181 , validation loss:  0.09943168208003045 , validation dice:  0.0 , this epoch took:  16.84051012992859 s
epoch:  110 , training loss:  0.10406978397071362 , validation loss:  0.10491214498877525 , validation dice:  0.0 , this epoch took:  17.05139446258545 s
epoch:  111 , training loss:  0.09883282099664212 , validation loss:  0.10437425404787064 , validation dice:  0.0 , this epoch took:  16.743244171142578 s
epoch:  112 , training loss:  0.10707603918015957 , validation loss:  0.09810163825750351 , validation dice:  0.0 , this epoch took:  17.620436429977417 s
epoch:  113 , training loss:  0.09893282783776522 , validation loss:  0.10130872666835784 , validation dice:  0.0 , this epoch took:  17.1338472366333 s
epoch:  114 , training loss:  0.10891655070334673 , validation loss:  0.1017831315100193 , validation dice:  0.0 , this epoch took:  17.542373180389404 s
epoch:  115 , training loss:  0.10044920180737972 , validation loss:  0.09920327812433243 , validation dice:  0.0 , this epoch took:  16.827330827713013 s
epoch:  116 , training loss:  0.09765763759613037 , validation loss:  0.11277709379792214 , validation dice:  0.0 , this epoch took:  17.26164412498474 s
epoch:  117 , training loss:  0.1028613042831421 , validation loss:  0.10992739334702492 , validation dice:  0.0 , this epoch took:  16.911872148513794 s
epoch:  118 , training loss:  0.10242086428403854 , validation loss:  0.10097285360097885 , validation dice:  0.0 , this epoch took:  16.610204458236694 s
epoch:  119 , training loss:  0.10332896547019482 , validation loss:  0.10466137319803238 , validation dice:  0.0 , this epoch took:  16.635165452957153 s
epoch:  120 , training loss:  0.10568825747817755 , validation loss:  0.10614311873912811 , validation dice:  0.0 , this epoch took:  16.765043020248413 s
epoch:  121 , training loss:  0.10317005179822444 , validation loss:  0.10261758387088776 , validation dice:  0.0 , this epoch took:  16.895439624786377 s
epoch:  122 , training loss:  0.10342580835521221 , validation loss:  0.1047125118970871 , validation dice:  0.0 , this epoch took:  16.765581369400024 s
epoch:  123 , training loss:  0.10147030048072338 , validation loss:  0.10655527919530869 , validation dice:  0.0 , this epoch took:  16.754752159118652 s
epoch:  124 , training loss:  0.10007875114679336 , validation loss:  0.10249738320708275 , validation dice:  0.0 , this epoch took:  16.315783977508545 s
epoch:  125 , training loss:  0.10368519248068332 , validation loss:  0.10168639957904815 , validation dice:  0.0 , this epoch took:  16.737342596054077 s
epoch:  126 , training loss:  0.10196261652559042 , validation loss:  0.10730401739478111 , validation dice:  0.0 , this epoch took:  16.29512119293213 s
epoch:  127 , training loss:  0.11104061670601367 , validation loss:  0.10455001026391983 , validation dice:  0.0 , this epoch took:  17.04887819290161 s
epoch:  128 , training loss:  0.10327629916369915 , validation loss:  0.1002983571588993 , validation dice:  0.0 , this epoch took:  16.804415225982666 s
epoch:  129 , training loss:  0.09291919077187777 , validation loss:  0.10467860072851182 , validation dice:  0.0 , this epoch took:  17.057011365890503 s
epoch:  130 , training loss:  0.10548192967474461 , validation loss:  0.10622454762458801 , validation dice:  0.0 , this epoch took:  16.478617191314697 s
epoch:  131 , training loss:  0.10257257349044084 , validation loss:  0.11837656140327453 , validation dice:  0.0 , this epoch took:  17.001104831695557 s
epoch:  132 , training loss:  0.10871371507644653 , validation loss:  0.10204111471772194 , validation dice:  0.0 , this epoch took:  15.908907413482666 s
epoch:  133 , training loss:  0.0987098446264863 , validation loss:  0.10313993036746978 , validation dice:  0.0 , this epoch took:  16.254106521606445 s
epoch:  134 , training loss:  0.10670332051813602 , validation loss:  0.10084881737828255 , validation dice:  0.0 , this epoch took:  16.953303813934326 s
epoch:  135 , training loss:  0.09885675973445177 , validation loss:  0.10371729537844658 , validation dice:  0.0 , this epoch took:  16.655004262924194 s
epoch:  136 , training loss:  0.10276651076972484 , validation loss:  0.09865931436419487 , validation dice:  0.0 , this epoch took:  16.42346715927124 s
epoch:  137 , training loss:  0.101601313367486 , validation loss:  0.1092455706000328 , validation dice:  0.0 , this epoch took:  16.582468271255493 s
epoch:  138 , training loss:  0.10515209105610847 , validation loss:  0.10712534621357918 , validation dice:  0.0 , this epoch took:  16.833693742752075 s
epoch:  139 , training loss:  0.102665044978261 , validation loss:  0.11522624284029007 , validation dice:  0.0 , this epoch took:  16.125767946243286 s
epoch:  140 , training loss:  0.10085071179270744 , validation loss:  0.09929165616631508 , validation dice:  0.0 , this epoch took:  16.190537691116333 s
epoch:  141 , training loss:  0.10517716705799103 , validation loss:  0.09976547569036484 , validation dice:  0.0 , this epoch took:  16.346606016159058 s
epoch:  142 , training loss:  0.10163979271054267 , validation loss:  0.11130930960178376 , validation dice:  0.0 , this epoch took:  16.565180778503418 s
epoch:  143 , training loss:  0.10592984259873629 , validation loss:  0.10810740917921066 , validation dice:  0.0 , this epoch took:  18.090664386749268 s
